"HorseName","Birthday","Father","Mother","MotherFather","MotherMother","Sex","CoatColor","HorseNameMeaning","HorseOwner","Trainer","ProductionRanch","Origin"
"アイアムハヤスギル","2016-03-02 00:00:00","ヨハネスブルグ","アイアムネフライト","アグネスタキオン","アイアムアドーター","牡","黒鹿毛","冠名＋速すぎるスピード","堀紘一","奥平雅士(美浦)","まるとみ冨岡牧場","浦河町"
"ペイシャネガノ","2016-03-09 00:00:00","サウスヴィグラス","モンターニュドール","ヘネシー","ネガノ","牝","栗毛　","冠名＋母母名","北所直人","深山雅史(美浦)","友田牧場","新ひだか町"
"ゼネラルヴィント","2016-03-13 00:00:00","バーディバーディ","スコーピオンリジイ","アジュディケーティング","ルイボスジョオー","牡","黒鹿毛","冠名＋勝った（伊）","(株)ジェネラルレーシング","伊藤伸一(美浦)","レジェンドファーム","新冠町"
"フラッシュノワール","2016-02-17 00:00:00","エイシンフラッシュ","リビングデイライツ","フジキセキ","グリーンポーラ","牡","黒鹿毛","閃光＋黒い（仏）。黒い閃光。父名、本馬の毛色より連想","(有)キャロットファーム","伊藤大士(美浦)","ノーザンファーム","安平町"
"チェリーアトラス","2016-05-15 00:00:00","チェリークラウン","チェリーウォーター","ティンバーカントリー","キョウワグレイス","牡","芦毛　","冠名＋ギリシャ神話に登場する神","櫻井悦朗","勢司和浩(美浦)","富塚ファーム","浦河町"
"カフェドラペ","2016-02-06 00:00:00","マンハッタンカフェ","マウンテンエンジェル","Mt. Livermore","All An Angel","牝","青鹿毛","静かなカフェ（仏）。父名から連想","吉田千津","杉浦宏昭(美浦)","社台ファーム","千歳市"
"チャコリーナ","2016-04-20 00:00:00","ノヴェリスト","ラブフォーエバー","サンデーサイレンス","ノンストップレディ","牝","青鹿毛","チャコリワイン（スペインの微発泡性ワイン）","村野康司","田島俊明(美浦)","社台ファーム","千歳市"
"シンボリビーノ","2016-05-05 00:00:00","パイロ","ウルビーノ","ワイルドラッシュ","テンザンビーナス","せん","黒鹿毛","冠名＋母名より","シンボリ牧場","石毛善彦(美浦)","野島牧場","日高町"
"ナムラアイアイサー","2016-06-08 00:00:00","ヨハネスブルグ","ナムラドロシー","タバスコキャット","バーハレン","牡","栗毛　","冠名＋了解しました（海軍の用語）","奈村睦弘","武市康男(美浦)","中島牧場","浦河町"
"ブラックアルテミス","2016-05-13 00:00:00","アイルハヴアナザー","エスシープリンセス","ケイムホーム","クリヴィア","牝","栗毛　","冠名＋ギリシャ神話の女神","黒澤尚","柴田政人(美浦)","山際辰夫","日高町"
"バブリン","2016-03-30 00:00:00","ストロングリターン","パレスメダーリア","ハーツクライ","マルゼンミケーラ","牝","鹿毛　","バブルより。華麗な感じをイメージ","井上久光","的場均(美浦)","安達洋生","新冠町"
"ガッサンベリー","2016-05-02 00:00:00","ショウナンカンプ","ハートフルソルティ","オレハマッテルゼ","パシフィーク","牡","鹿毛　","冠名＋果実","西村專次","古賀史生(美浦)","グラストレーニングセンター","浦河町"
"トーアコルシャ","2016-03-25 00:00:00","サウスヴィグラス","トーアミッシェル","フジキセキ","ショウナンハイネ","牡","栗毛　","冠名＋仏のコルトンの丘より＋ブドウの品種の一つ、シャルドネより","高山ランド(株)","畠山吉宏(美浦)","トーア牧場","豊浦町"
"アンビシャススター","2016-02-10 00:00:00","シニスターミニスター","ワンモアフリート","アフリート","ワンモアヒット","牡","鹿毛　","野心的なスター","星野隆男","伊藤圭三(美浦)","グランド牧場","新ひだか町"
"クリスタルボール","2016-03-05 00:00:00","キンシャサノキセキ","オンザスローン","キングカメハメハ","アズワー","牝","黒鹿毛","水晶玉","田頭勇貴","佐藤吉勝(美浦)","森永牧場","日高町"
"フェアースカイ","2016-03-01 00:00:00","グランプリボス","サンマルフェアー","アドマイヤドン","シアトルフェアー","牝","鹿毛　","晴天","(有)和田牧場","石毛善彦(美浦)","中村雅明","浦河町"
"タマモジャイブ","2016-05-03 00:00:00","ヘニーヒューズ","チャームダンス","アフリート","ダンシングゴッデス","牝","鹿毛　","冠名＋踊りの一種","タマモ(株)","伊藤圭三(美浦)","前田牧場","新ひだか町"
"タイキリヴェール","2016-04-17 00:00:00","クロフネ","レーヴドベティ","ロックオブジブラルタル","レーブドグランパ","牡","鹿毛　","冠名＋夢見る人（仏）","(有)大樹ファーム","菊沢隆徳(美浦)","橋本牧場","新ひだか町"
"ディレット","2016-04-13 00:00:00","リーチザクラウン","タイトーク","Black Tie Affair","Highland Talk","牝","鹿毛　","最愛の人（伊）","池田草龍","大江原哲(美浦)","(有)三石軽種馬共同育成センター","新ひだか町"
"マーベラスアゲン","2016-01-22 00:00:00","キンシャサノキセキ","ゴールドレリック","Kingmambo","Gold Bust","牡","鹿毛　","再び信じ難いことが","浅川皓司","加藤和宏(美浦)","笠松牧場","浦河町"
"ジャングルキッド","2016-04-02 00:00:00","クロフネ","ブラボージャングル","ジャングルポケット","ブラボーサンライズ","牝","芦毛　","母名の一部＋子供","松岡隆雄","牧浦充徳(栗東)","ヤナガワ牧場","日高町"
"カシノブレンド","2016-05-04 00:00:00","キャプテントゥーレ","セトウチダイヤ","タイキシャトル","テレサザティーチャ","せん","芦毛　","冠名＋混ぜ合わせ","柏木務","蛯名利弘(美浦)","サンローゼン","新冠町"
"サンウォータールー","2016-05-14 00:00:00","ナカヤマフェスタ","チャームエンジェル","Theatrical","Durability","せん","栗毛　","太陽＋アメリカの都市名","(株)加藤ステーブル","水野貴広(美浦)","(株)ケイズ","日高町"
"アクルックス","2016-05-01 00:00:00","アイルハヴアナザー","マイネベクルックス","アグネスタキオン","マイネミモーゼ","牝","鹿毛　","みなみじゅうじ座のα星。母名より連想","(有)ビッグレッドファーム","堀井雅広(美浦)","ビッグレッドファーム","新冠町"
"ネクストスクワッド","2016-02-09 00:00:00","ダイワメジャー","ノーザンシャトル","タイキシャトル","ノーザンサンライズ","牡","栗毛　","新しい仲間","平田修","林徹(美浦)","ヤナガワ牧場","日高町"
"スーパーロキ","2016-05-11 00:00:00","ロードカナロア","カレンナホホエミ","タイキシャトル","テンシノキセキ","牡","鹿毛　","最上級＋北欧神話の神","(株)ラ・メール","田村康仁(美浦)","辻牧場","浦河町"
"ランランコハク","2016-02-02 00:00:00","ケイムホーム","ニシノコハク","ゴールドアリュール","ニシノフジムスメ","牝","青鹿毛","爛々＋母名の一部","(有)髙昭牧場","黒岩陽一(美浦)","高昭牧場","浦河町"
